       0     0.261680    -0.200025      284.347      0.00000
       0     0.256064    -0.202579      574.649   0.00617284
       0     0.250558    -0.205358      595.348    0.0123457
       0     0.245399    -0.208742      506.805    0.0185185
       0     0.239887    -0.211487      484.095    0.0246914
       0     0.233801    -0.212317      487.935    0.0308642
       0     0.227630    -0.212184      449.024    0.0370370
       1     0.172217    -0.249021      150.809      0.00000
       1     0.166049    -0.248765      243.657   0.00617284
       1     0.159896    -0.248325      213.713    0.0123457
       2     0.262189    -0.208055      95.8851      0.00000
       2     0.257577    -0.212153      136.481   0.00617284
       2     0.253125    -0.216429      145.021    0.0123457
       3     0.172689    -0.242028      90.8909      0.00000
       3     0.178075    -0.245043      150.903   0.00617284
       3     0.183917    -0.246571      143.720    0.0123457
       4     0.222656    -0.212645      65.0205      0.00000
       4     0.216935    -0.214962      98.5765   0.00617284
       4     0.211362    -0.217607      99.4606    0.0123457
       4     0.206072    -0.220780      72.5569    0.0185185
       4     0.200942    -0.224212      63.3137    0.0246914
       4     0.195578    -0.227264      49.8833    0.0308642
       5     0.127785    -0.233644      62.5572      0.00000
       5     0.133951    -0.233918      102.175   0.00617284
       6     0.162726    -0.230504      45.4503      0.00000
       6     0.167040    -0.234918      76.6109   0.00617284
       7     0.201938    -0.247144      16.7967      0.00000
       7     0.196197    -0.249402      32.7457   0.00617284
       7     0.190313    -0.251261      38.2025    0.0123457
       8     0.145803    -0.235431      18.6315      0.00000
       8     0.150824    -0.239017      29.7036   0.00617284
       9     0.235800    -0.220885      20.4444      0.00000
       9     0.229634    -0.220887      30.0086   0.00617284
      10     0.131513    -0.229618      15.8767      0.00000
      10     0.126006    -0.232403      24.8700   0.00617284
      11     0.155553    -0.248685      15.8274      0.00000
      11     0.149429    -0.249391      18.9666   0.00617284
      11     0.143577    -0.251214      19.2583    0.0123457
      11     0.138105    -0.254052      19.7088    0.0185185
      11     0.132824    -0.257246      20.9778    0.0246914
      12    0.0854243    -0.268147      15.3126      0.00000
      12    0.0913410    -0.269897      18.8949   0.00617284
      13     0.207401    -0.228045      10.4988      0.00000
      13     0.201767    -0.230555      14.9772   0.00617284
      14     0.160840    -0.254323      10.7459      0.00000
      14     0.154775    -0.255458      20.1189   0.00617284
      14     0.148785    -0.256945      22.4946    0.0123457
      15     0.149849    -0.228248      11.2938      0.00000
      15     0.154282    -0.232541      15.1638   0.00617284
      16     0.144956    -0.246033      11.0293      0.00000
      16     0.138939    -0.247405      19.8953   0.00617284
      17     0.225265    -0.220663      11.1690      0.00000
      17     0.219322    -0.222329      15.0265   0.00617284
      17     0.213669    -0.224756      10.6688    0.0123457
      18     0.136521    -0.267822      9.69713      0.00000
      18     0.142620    -0.268771      17.3955   0.00617284
      18     0.148741    -0.269493      15.7690    0.0123457
      19     0.210602    -0.229632      6.78749      0.00000
      19     0.210795    -0.235790      10.0670   0.00617284
      19     0.210912    -0.241959      10.8562    0.0123457
      19     0.210386    -0.248109      8.98327    0.0185185
      20     0.151353    -0.208468      7.00790      0.00000
      20     0.147241    -0.213057      10.4496   0.00617284
      20     0.144090    -0.218355      9.35196    0.0123457
      21     0.196906    -0.214333      4.89085      0.00000
      21     0.190746    -0.214405      6.48016   0.00617284
